Дата оплаты	Лицевой счет	Сумма
08.02.2021	158893002	2003,94
08.02.2021	158893037	751,48
08.02.2021	160101086	1282,94
08.02.2021	160201037	2700,44
08.02.2021	160201038	2205,51
08.02.2021	160201067	2152,66
08.02.2021	160201196	2517,84
08.02.2021	160501029	1762,08
08.02.2021	160501032	5886,56
08.02.2021	160501134	850,82
08.02.2021	160502185	2464,99
08.02.2021	160502187	2825,36
08.02.2021	160502223	1744,23
08.02.2021	160502361	2599,53
08.02.2021	160601139	3060,81
08.02.2021	160602078	2181,49
08.02.2021	160901180	994,81
08.02.2021	160901186	2460,19
08.02.2021	160903171	1334,52
08.02.2021	161101166	2786,93
08.02.2021	161701079	170,24
08.02.2021	161701081	2464,99
08.02.2021	161701121	2599,53
08.02.2021	161701151	2878,22
08.02.2021	161701247	2099,80
08.02.2021	161701248	2796,54
08.02.2021	161901063	2517,88
08.02.2021	162301152	1217,91
08.02.2021	162401273	1652,94
08.02.2021	162506176	1763,45
08.02.2021	162508325	1614,50
08.02.2021	162508331	2267,98
08.02.2021	162509038	1633,72
08.02.2021	162509063	2604,25
08.02.2021	162509331	2714,85
08.02.2021	162511187	1158,01
08.02.2021	162513205	3012,76
08.02.2021	162513305	2764,05
08.02.2021	162513308	1974,87
08.02.2021	162513309	2867,70
08.02.2021	162514305	3267,43
08.02.2021	162515222	2263,18
08.02.2021	162515239	2489,01
08.02.2021	162516141	2354,47
08.02.2021	162518203	456,48
08.02.2021	162521193	725,56
08.02.2021	162524180	1201,26
08.02.2021	162524609	2239,15
08.02.2021	162526101	5653,35
08.02.2021	162526105	2609,14
08.02.2021	162527006	2517,88
08.02.2021	162527007	2310,58
08.02.2021	162527009	2206,93
08.02.2021	162527024	2344,86
08.02.2021	162527025	2168,05
08.02.2021	162530016	2013,31
08.02.2021	162532114	2510,96
08.02.2021	162532560	1576,05
08.02.2021	162601120	2710,05
08.02.2021	162601211	2738,88
08.02.2021	162603003	1936,44
08.02.2021	162603042	1547,23
08.02.2021	162603177	1845,14
08.02.2021	162603186	2061,36
08.02.2021	162603191	2508,23
08.02.2021	162604039	2517,84
08.02.2021	162604083	3185,75
08.02.2021	162604404	2368,89
